0,CombatZoneResize,113,231,548,391,,,,
0,GasterBlaster,0,100,0,$HeartX,450,270,0.83,0.1
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,0,100,0,$HeartX,450,270,0.83,0.1




1.0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,0,100,0,$HeartX,450,270,0.83,0.1

0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,1,100,0,$HeartX,450,270,0.83,0.1

0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,1,100,0,$HeartX,450,270,0.83,0.1
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,1,100,0,$HeartX,450,270,0.83,0.1
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,1,100,0,$HeartX,450,270,0.83,0.1
0.6,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,1,100,0,$HeartX,450,270,0.83,0.1


1,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,0,100,0,$HeartX,450,270,0.83,0.1

0.4,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,1,100,0,$HeartX,450,270,0.83,0.1

0.4,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,1,100,0,$HeartX,450,270,0.83,0.1
0.4,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0.1
0,GasterBlaster,1,100,0,$HeartX,450,270,0.83,0.1
1,SansBody,HandUp,,
0,SansSlam,3,,,
0.8,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0
0.8,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0
0.8,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0
0.8,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0
0.8,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0
0.8,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0
0.8,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0
0.8,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,1,100,0,$HeartX,150,90,0.82,0

3,The world off,,,,,,
0.4,BlackScreen,1
0,BlackScreen,0
1,SansBody,HandDown,,
0,SansSlam,1,,,
0.3,SansAnimation,Idle,,,,,

0,SansSweat,1,,,
2,SansHead,Tired1,,
2,EndAttack,,,,,,,,,

