,CombatZoneResize,114,216,576,391,,,,,,,
0,ADD,EndY2,$EndY2,$HeartY,,,,,,,,
0,ADD,X2,$X2,$HeartX,,,,,,,,
0,ADD,Y2,$Y2,$HeartY,,,,,,,,
0,ADD,EndX3,$EndX3,$HeartX,,,,,,,,
0,ADD,EndY3,$EndY3,$HeartY,,,,,,,,
0,ADD,X3,$X3,$HeartX,,,,,,,,
0,ADD,Y3,$Y3,$HeartY,,,,,,,,
0,JMPNL,52,$EndX2,50,,,,,,,,
0,SET,EndX2,50,,,,,,,,,
0,JMPNG,54,$EndX2,590,,,,,,,,
0,SET,EndX2,590,,,,,,,,,
0,JMPNL,56,$EndY2,40,,,,,,,,
0,SET,EndY2,40,,,,,,,,,
0,JMPNG,58,$EndY2,440,,,,,,,,
0,SET,EndY2,440,,,,,,,,,
0,JMPNL,60,$EndX3,50,,,,,,,,
0,SET,EndX3,50,,,,,,,,,
0,JMPNG,62,$EndX3,590,,,,,,,,
0,SET,EndX3,590,,,,,,,,,
0,JMPNL,64,$EndY3,40,,,,,,,,
0,SET,EndY3,40,,,,,,,,,
0,JMPNG,66,$EndY3,440,,,,,,,,
0,SET,EndY3,440,,,,,,,,,
0,ANGLE,Ang2,$EndX2,$EndY2,$HeartX,$HeartY,,,,,,
0,ANGLE,Ang3,$EndX3,$EndY3,$HeartX,$HeartY,,,,,,
0,GasterBlaster,0,$X2,$Y2,$EndX2,$EndY2,$Ang2,0.46666,0.03333,0,0,
0,GasterBlaster2,0,$X3,$Y3,$EndX3,$EndY3,$Ang3,0.46666,150,0,0,
1.5,JMPNZ,26,$Loop2,,,,,,,,,
0.5,GasterBlaster3,0,350,3,350,166,165,0.6666,3.6,0,-0.5,
0.5,SET,Loop4,3,,,,,,,,,
0,SUB,Loop4,$Loop4,1,,,,,,,,
0,RND,Ang2,360,,,,,,,,,
0,COS,X2,$Ang2,,,,,,,,,
0,SIN,Y2,$Ang2,,,,,,,,,
0,MUL,EndX2,$X2,200,,,,,,,,
0,MUL,EndY2,$Y2,200,,,,,,,,
0,MUL,X2,$X2,400,,,,,,,,
0,MUL,Y2,$Y2,300,,,,,,,,
0,RND,Ang3,360,,,,,,,,,
0,COS,X3,$Ang3,,,,,,,,,
0,SIN,Y3,$Ang3,,,,,,,,,
0,MUL,EndX3,$X3,200,,,,,,,,
0,MUL,EndY3,$Y3,200,,,,,,,,
0,MUL,X3,$X3,400,,,,,,,,
0,MUL,Y3,$Y3,300,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,ADD,EndX2,$EndX2,$HeartX,,,,,,,,
0,ADD,EndY2,$EndY2,$HeartY,,,,,,,,
0,ADD,X2,$X2,$HeartX,,,,,,,,
0,ADD,Y2,$Y2,$HeartY,,,,,,,,
0,ADD,EndX3,$EndX3,$HeartX,,,,,,,,
0,ADD,EndY3,$EndY3,$HeartY,,,,,,,,
0,ADD,X3,$X3,$HeartX,,,,,,,,
0,ADD,Y3,$Y3,$HeartY,,,,,,,,
0,JMPNL,99,$EndX2,50,,,,,,,,
0,SET,EndX2,50,,,,,,,,,
0,JMPNG,101,$EndX2,590,,,,,,,,
0,SET,EndX2,590,,,,,,,,,
0,JMPNL,103,$EndY2,40,,,,,,,,
0,SET,EndY2,40,,,,,,,,,
0,JMPNG,105,$EndY2,440,,,,,,,,
0,SET,EndY2,440,,,,,,,,,
0,JMPNL,107,$EndX3,50,,,,,,,,
0,SET,EndX3,50,,,,,,,,,
0,JMPNG,109,$EndX3,590,,,,,,,,
0,SET,EndX3,590,,,,,,,,,
0,JMPNL,111,$EndY3,40,,,,,,,,
0,SET,EndY3,40,,,,,,,,,
0,JMPNG,113,$EndY3,440,,,,,,,,
0,SET,EndY3,440,,,,,,,,,
0,ANGLE,Ang2,$EndX2,$EndY2,$HeartX,$HeartY,,,,,,
0,ANGLE,Ang3,$EndX3,$EndY3,$HeartX,$HeartY,,,,,,
0,GasterBlaster,0,$X2,$Y2,$EndX2,$EndY2,$Ang2,0.46666,0.03333,0,0,
0,GasterBlaster2,0,$X3,$Y3,$EndX3,$EndY3,$Ang3,0.46666,150,0,0,
1.5,JMPNZ,73,$Loop4,,,,,,,,,
0.5,JMPNZ,23,$Loop3,,,,,,,,,
0,EndAttack,,,,,,,,,,,
